node_id,video_id,titulo,canal,categoria,vistas,comentarios_muestra,comunidad_id,comunidad_nombre,estado_estructural,grado,grado_ponderado,intermediacion_global,intermediacion_componente,cercania_global,cercania_componente,pagerank_global,pagerank_componente,es_punto_articulacion,rol_estructural
video::OkXlHx0hx-8,OkXlHx0hx-8,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,News & Politics,14200,25,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::lj983NWyAQY,lj983NWyAQY,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,News & Politics,304089,25,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::TT4qJ5FXHYE,TT4qJ5FXHYE,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",Quorum,News & Politics,1075,4,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::JkpVO1hx2f8,JkpVO1hx2f8,10 Preguntas a un año del Paro Nacional,Quorum,News & Politics,673,3,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::3Nfp9h5avBI,3Nfp9h5avBI,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",Noticiero Guatevisión 13 Hrs.,News & Politics,573,2,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::UhL9y3KUl8E,UhL9y3KUl8E,SHAI WA: la vecina queer de Casa Presidencial,Quorum,News & Politics,1755,1,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::X_FAIef8qlE,X_FAIef8qlE,Cruzando la ciudad a puro Transmetro,Quorum,News & Politics,1140,1,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::s0eco-BofOs,s0eco-BofOs,¿Quiénes pagan más en Centroamérica?,Quorum,News & Politics,220,1,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::zweosulrwA8,zweosulrwA8,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,Quorum,Nonprofits & Activism,52,1,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::-5puKGEqcUc,-5puKGEqcUc,INSIVUMEH pronostica incremento de lluvias para el fin de semana en Guatemala,T13 Noticias Guatemala,News & Politics,2357,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::-E7OPOLjMug,-E7OPOLjMug,BERNARDO ARÉVALO CALIFICA CAMBIO EN EL MP COMO EL FIN DE UNA ETAPA DE DETERIORO INSTITUCIONAL,IDocumenta,People & Blogs,4,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::-KDglrIzRKo,-KDglrIzRKo,¡HISTÓRICO! Mexico recupera petróleo robado por Guatemala... 🔔,México Poder,People & Blogs,29736,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::-O4Pa7qS9WQ,-O4Pa7qS9WQ,"Viaje completo Ciudad de Guatemala al IRTRA de Retalhuleu, menos tráfico, Diesel a Q42.59",Guate Maya Trip,Nonprofits & Activism,383,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::0LTLUY7LBlA,0LTLUY7LBlA,"Qué debes saber ANTES de viajar a GUATEMALA | Dónde cambiar DINERO, adquirir INTERNET y TRANSPORTE",De viaje con Migue,Travel & Events,6099,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::0a4_g1R1-aA,0a4_g1R1-aA,Acciones relevantes en el #Resumen24Horas,PNCdeGuatemala,Science & Technology,15455,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::0b2vfzXdCqs,0b2vfzXdCqs,Cadena Nacional del presidente Bernardo Arévalo,Gobierno de la República de Guatemala,Entertainment,2725,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::0eiVPMexNOo,0eiVPMexNOo,CONRED se pronuncia tras sismos en el territorio nacional,TN23 Guatemala,News & Politics,1875,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::0iQD8zHxZIg,0iQD8zHxZIg,SE FILTRO un AUDIO de PANDILLEROS en Guatemala | DISPUTA POLITICA  Guatemala en medio de EMERGENCIA,Tras la Verdad SV,News & Politics,36701,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::1-hr8eCOt_I,1-hr8eCOt_I,Este es el impacto ante el incremento del tráfico en la capital por el inicio de clases,AztecaGuate,Entertainment,289,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::1HQLJycvzaQ,1HQLJycvzaQ,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,Entertainment,1175,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::1kSG-naIgqk,1kSG-naIgqk,PRIMERA SEDE MIGRATORIA REGIONAL EN CHIQUIMULA,Vicepresidencia Guate,Entertainment,48,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::1w9faaYjhyU,1w9faaYjhyU,Fundación de la República de Guatemala 21 marzo 1847,El profe de Historia Gt,People & Blogs,31697,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::1y61Kb9uSbg,1y61Kb9uSbg,Departamento de Tránsito de PNC certifica a 43 PMT en Educación Vial,Ministerio de Gobernación,News & Politics,471,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::1yHN9Ci7pXs,1yHN9Ci7pXs,Municipalidad de Guatemala informa,Municipalidad de Guatemala,People & Blogs,1617,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::2iqOSL9YguA,2iqOSL9YguA,Gabriel García Luna ya está en el MP para asumir como nuevo fiscal general,Guatevisión,Entertainment,5181,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::2n31FhKmELI,2n31FhKmELI,TRÁFICO EN GUATEMALA,Fralis Maxiel Martinez,People & Blogs,512,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::2p23yPpu6aQ,2p23yPpu6aQ,#Conred,Noticias-FA-Gt,People & Blogs,164,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::3-jKER3zqcA,3-jKER3zqcA,VECINO VRS AGENTES DE LA PMT EN MAZATENANGO,audioschileros,People & Blogs,70811,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::3LAwISMokIg,3LAwISMokIg,MUNICIPALIDAD DE GUATEMALA 17/12/2025,Concejales de Oposición - Muni Guate,People & Blogs,294,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::3P2OUk7aGmc,3P2OUk7aGmc,Presidente presenta Segundo Informe Presidencial en Sesión Solemne del Congreso de la República.,Gobierno de la República de Guatemala,Entertainment,2838,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::3S3KygWSjAQ,3S3KygWSjAQ,Himno de la Policía Nacional Civil de Guatemala,PNCdeGuatemala,News & Politics,53021,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
video::3bU7I_ZpXUk,3bU7I_ZpXUk,Congreso inicia proceso para nombrar a nuevo Fiscal General en Guatemala y suceder a Consuelo Porras,PrensaLibreOficial,News & Politics,7465,0,0,Aislado,aislado,0,0,0.0,0.0,0.0,0.0,0.0028620758795720952,0.0,False,Aislado (sin co-comentación en muestra)
