node_id,node_type,label,author_channel_id,video_id,title,channel_name,category,view_count,has_observed_edge
author::UCGzXwyCzMzGmjmCbH3Hg01Q,author,@FidelZacarias-ph7dy,UCGzXwyCzMzGmjmCbH3Hg01Q,,,,,,True
author::UCHGd14aYuZZShLD73dkk6mg,author,@noemiherrera3152,UCHGd14aYuZZShLD73dkk6mg,,,,,,True
author::UCHMQ_lDhibZ-XZ_3fo6oxwg,author,@crislexrubi4387,UCHMQ_lDhibZ-XZ_3fo6oxwg,,,,,,True
author::UCHTGCgY2l-DQJIvlA_cpa_Q,author,@virgiliogarcia3039,UCHTGCgY2l-DQJIvlA_cpa_Q,,,,,,True
author::UCHbwIx9pmQuf7i-4_xO2EpA,author,@caminoseternos752,UCHbwIx9pmQuf7i-4_xO2EpA,,,,,,True
author::UCHhHUjaMAZ8SiXdCUCj9DkQ,author,@fredymendez1786,UCHhHUjaMAZ8SiXdCUCj9DkQ,,,,,,True
author::UCHu8x4MVkayU6VgwVKd--MQ,author,@Hernandez-i1o,UCHu8x4MVkayU6VgwVKd--MQ,,,,,,True
author::UCIUhbSCy3-SGRe5UtqM4fzQ,author,@jeanmorales1677,UCIUhbSCy3-SGRe5UtqM4fzQ,,,,,,True
author::UCIXLDYqR_syskKRJy_x9W9Q,author,@carlitosramirez4739,UCIXLDYqR_syskKRJy_x9W9Q,,,,,,True
author::UCIgoiXdIKJyUGmUoH2Lxdzg,author,@susievidal4134,UCIgoiXdIKJyUGmUoH2Lxdzg,,,,,,True
author::UCIp19h9igblA2YKfSLPDAug,author,@JoseReyes-rn6sh,UCIp19h9igblA2YKfSLPDAug,,,,,,True
author::UCJp3OrVYcBorC94sKwdch_A,author,@ULJoshmg2011,UCJp3OrVYcBorC94sKwdch_A,,,,,,True
author::UCJxJC56BSAX-ArD0NAb9qnQ,author,@alfonsowilian9157,UCJxJC56BSAX-ArD0NAb9qnQ,,,,,,True
author::UCKDR0f2fu2UzWL8mBv5-BHw,author,@mireyamorales6595,UCKDR0f2fu2UzWL8mBv5-BHw,,,,,,True
author::UCKVzDUqbtdSMBcexaEtMmzQ,author,@rotorairgroup8409,UCKVzDUqbtdSMBcexaEtMmzQ,,,,,,True
author::UCL13XhnRzbGokEkCkEOb0-g,author,@raquelprado3643,UCL13XhnRzbGokEkCkEOb0-g,,,,,,True
author::UCL1MT278vSaQ83ZDkVWn1gw,author,@elmorodriguez6978,UCL1MT278vSaQ83ZDkVWn1gw,,,,,,True
author::UCLFdHr9BEbXHkoJopbEPLZw,author,@kanterra4584,UCLFdHr9BEbXHkoJopbEPLZw,,,,,,True
