red,componente,tamano,aristas_internas,es_componente_mayor
proyeccion_video_video,220,1,0,False
proyeccion_video_video,221,1,0,False
proyeccion_video_video,222,1,0,False
proyeccion_video_video,223,1,0,False
proyeccion_video_video,224,1,0,False
proyeccion_video_video,225,1,0,False
proyeccion_video_video,226,1,0,False
proyeccion_video_video,227,1,0,False
proyeccion_video_video,228,1,0,False
proyeccion_video_video,229,1,0,False
proyeccion_video_video,230,1,0,False
proyeccion_video_video,231,1,0,False
proyeccion_video_video,232,1,0,False
proyeccion_video_video,233,1,0,False
proyeccion_video_video,234,1,0,False
proyeccion_video_video,235,1,0,False
proyeccion_video_video,236,1,0,False
proyeccion_video_video,237,1,0,False
proyeccion_video_video,238,1,0,False
proyeccion_video_video,239,1,0,False
proyeccion_video_video,240,1,0,False
proyeccion_video_video,241,1,0,False
proyeccion_video_video,242,1,0,False
proyeccion_video_video,243,1,0,False
proyeccion_video_video,244,1,0,False
proyeccion_video_video,245,1,0,False
proyeccion_video_video,246,1,0,False
proyeccion_video_video,247,1,0,False
proyeccion_video_video,248,1,0,False
proyeccion_video_video,249,1,0,False
proyeccion_video_video,250,1,0,False
proyeccion_video_video,251,1,0,False
proyeccion_video_video,252,1,0,False
proyeccion_video_video,253,1,0,False
proyeccion_video_video,254,1,0,False
proyeccion_video_video,255,1,0,False
proyeccion_video_video,256,1,0,False
proyeccion_video_video,257,1,0,False
proyeccion_video_video,258,1,0,False
proyeccion_video_video,259,1,0,False
proyeccion_video_video,260,1,0,False
proyeccion_video_video,261,1,0,False
proyeccion_video_video,262,1,0,False
proyeccion_video_video,263,1,0,False
proyeccion_video_video,264,1,0,False
proyeccion_video_video,265,1,0,False
proyeccion_video_video,266,1,0,False
proyeccion_video_video,267,1,0,False
proyeccion_video_video,268,1,0,False
proyeccion_video_video,269,1,0,False
proyeccion_video_video,270,1,0,False
proyeccion_video_video,271,1,0,False
proyeccion_video_video,272,1,0,False
proyeccion_video_video,273,1,0,False
proyeccion_video_video,274,1,0,False
proyeccion_video_video,275,1,0,False
proyeccion_video_video,276,1,0,False
proyeccion_video_video,277,1,0,False
proyeccion_video_video,278,1,0,False
proyeccion_video_video,279,1,0,False
proyeccion_video_video,280,1,0,False
proyeccion_video_video,281,1,0,False
proyeccion_video_video,282,1,0,False
proyeccion_video_video,283,1,0,False
proyeccion_video_video,284,1,0,False
